"","COUNTY.NAME","grade","n_grade","daily_distance_diff"
"835","Anderson","D",2,-0.180774688937423
"761","Bedford","C",3,-0.231874795257558
"1039","Benton","C",3,-0.260182184218719
"757","Bledsoe","A",5,-0.414415362348107
"1539","Blount","C",3,-0.247085833877841
"252","Bradley","D",2,-0.171455290285076
"1140","Campbell","F",1,-0.0196751693691205
"198","Cannon","C",3,-0.261633993606046
"1298","Carroll","C",3,-0.26938182559591
"487","Carter","C",3,-0.285191928130857
"697","Cheatham","C",3,-0.265729725123777
"471","Chester","D",2,-0.187317887725459
"1072","Claiborne","D",2,-0.150744270218289
"469","Clay","F",1,-0.0431819314483155
"747","Cocke","F",1,-0.0781786341690697
"770","Coffee","D",2,-0.131045856528763
"243","Crockett","C",3,-0.291200194623853
"1365","Cumberland","D",2,-0.187662705092139
"1300","Davidson","B",4,-0.36569811580261
"808","Decatur","B",4,-0.315946331173646
"376","DeKalb","D",2,-0.180709404800641
"694","Dickson","D",2,-0.139262768822024
"1184","Dyer","D",2,-0.183985769995476
"1169","Fayette","C",3,-0.20847598485991
"831","Fentress","C",3,-0.216361745499749
"869","Franklin","B",4,-0.310535180675075
"1092","Gibson","C",3,-0.278018971438888
"1378","Giles","D",2,-0.16680939642024
"1044","Grainger","C",3,-0.221648307476178
"1266","Greene","D",2,-0.106326716427468
"414","Grundy","C",3,-0.22660360301879
"162","Hamblen","C",3,-0.214058312646367
"1494","Hamilton","C",3,-0.261470587912509
"587","Hancock","C",3,-0.200912753167459
"1037","Hardeman","C",3,-0.222924654909563
"973","Hardin","C",3,-0.234662609746689
"1468","Hawkins","C",3,-0.28038448311082
"776","Haywood","F",1,0.0751350705324842
"834","Henderson","D",2,-0.149420426492054
"1186","Henry","D",2,-0.186860333577342
"1180","Hickman","C",3,-0.222240835962083
"202","Houston","C",3,-0.264237317259015
"1048","Humphreys","F",1,-0.0521477510948144
"193","Jackson","C",3,-0.248274205012157
"515","Jefferson","F",1,-0.0877384327897193
"302","Johnson","B",4,-0.366653430797914
"1636","Knox","C",3,-0.21078877823225
"548","Lake","A",5,-0.411757538220978
"2114","Lauderdale","D",2,-0.156266298137668
"1475","Lawrence","C",3,-0.250795089707539
"502","Lewis","D",2,-0.184121107339121
"1205","Lincoln","C",3,-0.213201205840958
"843","Loudon","C",3,-0.239384551546461
"239","Macon","C",3,-0.256560765133328
"741","Madison","D",2,-0.106935052130947
"716","Marion","F",1,0.0546927903350456
"795","Marshall","D",2,-0.185593121589008
"1487","Maury","C",3,-0.24284149618706
"611","McMinn","D",2,-0.127701047372546
"677","McNairy","C",3,-0.281979555763831
"806","Meigs","C",3,-0.220535061295368
"2214","Monroe","C",3,-0.221149731059986
"898","Montgomery","C",3,-0.225776307368882
"242","Moore","C",3,-0.242741787163634
"983","Morgan","D",2,-0.149568164813682
"1421","Obion","D",2,-0.197961206792902
"393","Overton","B",4,-0.350667969758908
"903","Perry","D",2,-0.183290224226937
"444","Pickett","C",3,-0.250063289360578
"547","Polk","D",2,-0.181999377490988
"1888","Putnam","D",2,-0.133594292734728
"733","Rhea","B",4,-0.302285795309046
"893","Roane","C",3,-0.206610424333304
"995","Robertson","D",2,-0.123754855985699
"1629","Rutherford","C",3,-0.243431845521982
"1343","Scott","C",3,-0.283862415132725
"368","Sequatchie","B",4,-0.371931100688654
"1282","Sevier","B",4,-0.34593671900016
"2510","Shelby","C",3,-0.236614779391164
"294","Smith","F",1,-0.0471101299610777
"630","Stewart","D",2,-0.187088481867906
"1816","Sullivan","C",3,-0.262293717650777
"1481","Sumner","B",4,-0.306387813977389
"1018","Tipton","C",3,-0.246287553711418
"82","Trousdale","B",4,-0.333093139300793
"177","Unicoi","C",3,-0.216396308632947
"151","Union","D",2,-0.197856388270168
"159","Van Buren","C",3,-0.258516442095841
"435","Warren","C",3,-0.292587308188168
"323","Washington","C",3,-0.283356858124332
"1651","Wayne","B",4,-0.301027865446371
"1034","Weakley","D",2,-0.112850262282385
"557","White","C",3,-0.248919476822076
"1538","Williamson","A",5,-0.448786188509131
"1631","Wilson","C",3,-0.260971659374393
